a_sum,ak_sum,predicted,observed_topsis
-0.21449984117005488,-0.11222655042713169,False,False
-0.20852599577633138,-0.11271176436373789,False,False
0.29323229075837826,0.29064765965038314,False,False
-0.20598883539853033,-0.10137331127361479,False,False
-0.22071772721577898,-0.11526225561010334,False,False
-0.09709073012262753,-0.011975631292071336,False,True
-0.20933860718338404,-0.10878857579702081,False,False
-0.19813304959569566,-0.10387557730945972,False,False
-0.21587415644996352,-0.11146520271998084,False,False
-0.17503224147410548,-0.08548774725505814,False,False
-0.19464245426917182,-0.09572282381791809,False,False
-0.23453248335917343,-0.12202485105585269,False,False
-0.21083005396270135,-0.11443037384957998,False,False
0.22174062050575866,0.17210215915063812,False,False
-0.24179102110947498,-0.12601019410086076,False,False
-0.21051427045167348,-0.10963532186159329,False,False
-0.1942634315669936,-0.1026735667085248,False,False
-0.21549785814183042,-0.11232365420012896,False,False
-0.11507719765191862,-0.024417922440462193,False,True
-0.8387709979705641,-0.6096964292423622,False,False
-0.2215524918742205,-0.11533591769130538,False,False
-0.19414418931010397,-0.10236587893942127,False,False
-0.14449689473236088,-0.04874545635975404,False,False
-0.11376323159460344,-0.035341507028423494,False,False
-0.1790500871766085,-0.09187017898631078,False,False
-0.19083619879161823,-0.10034769759577065,False,False
-0.22205000710157596,-0.1155664355216064,False,False
-0.20565436767351739,-0.10777944348547544,False,False
-0.23261961142782955,-0.12143412870664198,False,False
-0.22733699704647478,-0.13322313298947303,False,False
-0.8473560370843188,-0.7327068056426643,False,False
-0.1931127566391731,-0.10181590007188115,False,False
-0.22399862581354782,-0.11745608621959862,False,False
-0.20004713569181853,-0.10474626620462485,False,False
-0.19891759226660166,-0.09321556490377483,False,False
-0.22778184397919088,-0.11851735347326886,False,False
-0.23780665623434588,-0.12636346746608507,False,False
-0.18832801954901063,-0.09912893206307717,False,False
-0.21567340887084635,-0.11373964906869481,False,False
-0.20005133576216694,-0.10477263926592006,False,False
-0.11584716958779802,-0.04218894044035426,False,False
-0.2294745301828845,-0.12012008252140333,False,False
-0.2264754830459731,-0.11581368187296909,False,False
-0.20834669352529409,-0.09488238016166771,False,False
-0.1434665361497976,-0.046936444472221964,False,False
-0.1894432074321823,-0.09608906060086363,False,False
-0.17305103289526896,-0.07699744696684169,False,False
-0.19852166695291507,-0.10373401190265047,False,False
