n_alt,n_crit,kappa_max,kappa_min,nu,log_nu,delta_w,tau_wsm,rho_wsm,identical_wsm,tau_topsis,rho_topsis,identical_topsis,tau_topsis_minmax,rho_topsis_minmax,identical_topsis_minmax
5,5,0.6543162541421451,0.16571349834607235,3.948478914926636,0.5964298232011872,0.05240920001895256,1.0,1.0,True,0.8,0.9,False,0.8,0.9,False
8,4,0.21876942478499709,0.03933903112209673,5.561128948510203,0.7451629653838879,0.1250174607884245,0.7142857142857143,0.8809523809523809,False,0.7857142857142857,0.9047619047619048,False,0.9285714285714286,0.9761904761904762,False
6,4,0.4546671540977944,0.19516361434141716,2.329671725079219,0.36729472873811125,0.09776576880869244,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
10,4,0.5177776979665243,0.048792533446266516,10.611822370857677,1.025789971803886,0.2970426291874597,0.4222222222222222,0.5757575757575757,False,0.3333333333333333,0.4545454545454546,False,0.8666666666666667,0.9515151515151515,False
10,3,0.8314384711632955,0.6634827267223227,1.2531426029271922,0.09800049488916483,0.022436706799185205,0.9555555555555556,0.9878787878787879,False,0.8666666666666667,0.9515151515151515,False,0.8222222222222222,0.9393939393939394,False
5,5,0.8613453835585358,0.010764610752558745,80.01639848182879,1.9031789999963897,0.24652683208102805,0.6,0.7,False,0.8,0.9,False,1.0,1.0,True
4,4,0.3207566676819138,0.004757640451879632,67.41927450355587,1.8287840747824375,0.3655568499111652,0.6666666666666666,0.8,False,1.0,1.0,True,1.0,1.0,True
5,3,0.44927398963845516,0.25496386928552583,1.76210845440836,0.2460326348941711,0.09953401978469079,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
6,4,0.8575126238477426,0.12946420030888642,6.623550153596086,0.8210908291444224,0.1339238483436924,0.7333333333333333,0.8285714285714285,False,1.0,1.0,True,0.8666666666666667,0.9428571428571428,False
10,5,0.889099927609935,0.15196874864003196,5.850544507082133,0.7671962875208844,0.16234587392271305,0.9111111111111111,0.9757575757575757,False,0.9111111111111111,0.9757575757575757,False,0.9111111111111111,0.9757575757575757,False
5,4,0.8401987575446974,0.5013722602024419,1.675798252587349,0.22422173323104586,0.06406265900167435,1.0,1.0,True,1.0,1.0,True,0.8,0.9,False
6,3,0.41405043850951134,0.27987822921362915,1.4793949485509645,0.1700841314537713,0.01734191168100965,1.0,1.0,True,0.8666666666666667,0.9428571428571428,False,0.8666666666666667,0.9428571428571428,False
4,4,0.8381910929346805,0.06945004489712395,12.0689784169934,1.0816705106409072,0.23924552307928104,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
4,3,0.27126776869266844,0.07846280397841555,3.4572785439051423,0.5387343709244485,0.09647156842350821,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
4,3,0.6539367596855498,0.06804301150175826,9.610638113203455,0.982752224280687,0.204006373080528,0.6666666666666666,0.8,False,1.0,1.0,True,1.0,1.0,True
8,5,0.23524674366896073,0.14566630575214837,1.6149702050357393,0.20816451434022956,0.07556156455575225,0.7857142857142857,0.8809523809523809,False,0.6428571428571429,0.7857142857142857,False,0.7857142857142857,0.9047619047619048,False
5,5,0.3766455942686393,0.06428853011467114,5.858674845901122,0.7677993955071822,0.18346736716892975,0.8,0.9,False,0.8,0.9,False,1.0,1.0,True
